key,name_en
100765,DHL eCommerce CN
7047,DHL eCommerce US
100001,DHL Express
100245,DHL Freight
100766,DHL Global Forwarding
7041,DHL Paket
100392,DHL Parcel (ES)
100047,DHL Parcel (NL)
100226,DHL Parcel (PL)
100152,DHL Parcel (UK)
100430,DHL Parcel Spain
100842,DHL Supply Chain APAC
190899,DHLink
190984,DHT
101173,Diamond Line Delivery
190658,DIDA International Logistics
190515,DIDADI
100737,Dimerco
190716,DingDian
191283,Dingli Tongyun
101066,Direct Freight Express
19244,Direct Link
100885,Direct Xpress
100747,Direx S.A. (Дайрекс EАД)
190839,DJX
190922,DK
191482,DLX
100966,DM Delivers
100759,DMSMatrix
190413,DNJ Express
100714,DNX Cargo
100365,DobroPost
191538,dofafo
101171,Dohrn
100897,Domain Logistics
101134,DomEX
190706,Dongdi exp
100702,DOORA Logistics. (두라로지스틱스)
101036,DoorDash
190585,DOR
190576,DORJE
100188,DotZot
100556,DPD (AT)
100321,DPD (BE)
100815,DPD (CH)
101032,DPD (CN)
100483,DPD (CZ)
100007,DPD (DE)
100808,DPD (EE)
100072,DPD (FR)
100404,DPD (GR)
100807,DPD (HR)
100584,DPD (HU)
100142,DPD (IE)
101087,DPD (KZ)
100810,DPD (LT)
100814,DPD (LU)
100809,DPD (LV)
100811,DPD (NL)
100111,DPD (PL)
100204,DPD (PT)
100177,DPD (RO)
100071,DPD (RU)
100813,DPD (SI)
100812,DPD (SK)
100010,DPD (UK)
101088,DPD (UZ)
101108,DPD Group
100709,DPD Local
191032,DpdEx
190424,DPE Express
100014,DPEX
190807,DPExpress
191336,DPS 
190490,DPX EXPRESS
100422,Dragonfly
190454,Dream & Love
191213,DSGJ
100186,DSV
100298,DSV e-Commerce IL
100652,DTD
100069,DTDC
191023,Duotu supply chain
190503,DuXiuExp
190869,DVEX
190358,DWE
190133,DWZ Expres
100484,DX
190397,DYEXPRESS
190747,DYJ
190742,DYLogistics
191100,DZT
191532,E Fund International Logistics
191274,EAA
190329,EAC
100712,Eagle Post
191357,EAGLEDHL
191407,EagleShip
100225,Early Bird
190538,EASIPASS
100756,East Wind Express
191375,Easy
100194,Easy Mail
100075,Easy Way
100095,EasyGet
190824,EasySeller
190527,Ebaza
190579,EBOEXP
190330,E-Bond
101006,"E-Cargo (אי קרגו לוגיסטיקה בעמ)"""
190187,ECexpress
190502,ECG
190817,ECGO
191472,EChain
191017,ECHEERS
100684,Echo Global Logistics
190168,ECMS
101168,ECO EXPRESS
100099,Ecom Express
100525,E-Com Shipping Solutions (P) Ltd
190486,E-commerce KZ
100435,Ecoscooting
100485,ECOTRACK
100947,eCourier
191132,ECWHARF
190376,ED POST
191310,EDASUN
190562,eDeliver
100957,EDI Express Inc
190261,EDL
190423,Edlon Logistics
100306,EFS (E-commerce Fulfillment Service)
101071,EGXPRESS
5021,Egypt Post
100056,Ekart
100902,Eksprespasta
100464,Eli Express
191214,E-lian
190392,ELINEX
100647,Elite Co.
7071,ELTA
100179,ELTA Courier
